FECHA,Registro_mp2_5
2016-03-07,10.8822
2016-03-08,12.3728
2016-03-09,8.75345
2016-03-10,12.153
2016-03-11,12.3886
2016-03-12,17.0121
2016-03-13,13.9804
2016-03-14,12.7675
2016-03-15,14.6545
2016-03-16,16.2508
2016-03-17,19.9973
2016-03-18,22.7717
2016-03-19,12.1022
2016-03-20,15.4711
2016-03-21,12.8364
2016-03-22,17.2851
2016-03-23,12.6914
2016-03-24,18.2003
2016-03-25,28.358
2016-03-26,22.0433
2016-03-27,18.8795
2016-03-28,21.0054
2016-03-29,32.4287
2016-03-30,27.0587
2016-03-31,14.9424
2016-04-01,30.5223
2016-04-02,33.4887
2016-04-03,29.2007
2016-04-04,37.6852
2016-04-05,50.2238
2016-04-06,32.6862
2016-04-07,40.8782
2016-04-08,59.7794
2016-04-09,61.3907
2016-04-10,30.7782
2016-04-11,46.1373
2016-04-12,50.1758
2016-04-13,27.8933
2016-04-14,19.8676
2016-04-15,20.5164
2016-04-16,25.1125
2016-04-17,50.113
2016-04-18,120.776
2016-04-19,41.4991
2016-04-20,27.34
2016-04-21,87.5505
2016-04-22,34.7387
2016-04-23,27.8245
2016-04-24,98.5806
2016-04-25,97.3856
2016-04-26,94.3059
2016-04-27,113.046
2016-04-28,135.081
2016-04-29,112.336
2016-04-30,138.577
2016-05-01,90.6136
2016-05-02,71.3795
2016-05-03,99.0845
2016-05-04,110.43
2016-05-05,101.75
2016-05-06,135.752
2016-05-07,115.915
2016-05-08,83.012
2016-05-09,151.541
2016-05-10,153.818
2016-05-11,59.4316
2016-05-12,64.0203
2016-05-13,116.331
2016-05-14,64.6591
2016-05-15,60.8218
2016-05-16,134.643
2016-05-17,158.301
2016-05-18,82.7944
2016-05-19,86.2692
2016-05-20,143.542
2016-05-21,138.799
2016-05-22,200.229
2016-05-23,141.999
2016-05-24,66.6779
2016-05-25,35.4833
2016-05-26,135.166
2016-05-27,114.033
2016-05-28,86.4545
2016-05-29,63.3662
2016-05-30,76.475
2016-05-31,82.5004
2016-06-01,126.402
2016-06-02,143.814
2016-06-03,47.8391
2016-06-04,57.7117
2016-06-05,84.7837
2016-06-06,66.7417
2016-06-07,113.939
2016-06-08,66.1409
2016-06-09,66.1013
2016-06-10,203.946
2016-06-11,246.55
2016-06-12,149.155
2016-06-13,171.483
2016-06-14,79.2975
2016-06-15,179.805
2016-06-16,151.437
2016-06-17,134.405
2016-06-18,228.58
2016-06-19,189.968
2016-06-20,103.12
2016-06-21,161.274
2016-06-22,106.857
2016-06-23,156.817
2016-06-24,164.669
2016-06-25,101.477
2016-06-26,219.422
2016-06-27,159.394
2016-06-28,133.971
2016-06-29,141.179
2016-06-30,84.7134
2016-07-01,144.245
2016-07-02,140.349
2016-07-03,303.17
2016-07-04,257.297
2016-07-05,112.266
2016-07-06,50.2061
2016-07-07,151.97569655172416
2016-07-08,61.2188
2016-07-09,50.08
2016-07-10,36.3878
2016-07-11,39.9044
2016-07-12,95.2233
2016-07-13,43.3463
2016-07-14,70.4579
2016-07-15,107.006
2016-07-16,63.9208
2016-07-17,46.0746
2016-07-18,163.324
2016-07-19,86.2863
2016-07-20,83.4446
2016-07-21,65.8779
2016-07-22,46.0117
2016-07-23,39.3296
2016-07-24,48.0396
